strike,ltp_CE,ltp_PE,ltp_prev_CE,ltp_prev_PE,oi_CE,oi_PE,oi_change_CE,oi_change_PE,price_change_CE,price_change_PE,oi_diff,total_oi,distance,magnet_score,oi_diff_strike
26000,222.35,18.2,0.0,0.0,54914.0,231099.0,-65053.0,98435.0,222.35,18.2,-176185.0,286013.0,825.0,346.26271186440675,172969.0
26250,54.85,100.0,0.0,0.0,64259.0,18271.0,18593.0,11596.0,54.85,100.0,45988.0,82530.0,1075.0,76.70074349442379,155029.0
26050,179.45,26.15,0.0,0.0,18225.0,115781.0,-43411.0,70391.0,179.45,26.15,-97556.0,134006.0,875.0,152.97488584474885,152007.0
27050,0.95,843.3,0.0,0.0,12934.0,8.0,-130.0,2.0,0.95,843.3,12926.0,12942.0,1875.0,6.898720682302772,139260.0
27000,0.95,795.0,0.0,0.0,150559.0,1643.0,-12930.0,-226.0,0.95,795.0,148916.0,152202.0,1825.0,83.3526834611172,138114.0
26200,78.25,74.45,0.0,0.0,140003.0,97556.0,21213.0,66616.0,78.25,74.45,42447.0,237559.0,1025.0,231.53898635477583,113955.0
25500,705.1,2.9,0.0,0.0,2349.0,129125.0,-630.0,7126.0,705.1,2.9,-126776.0,131474.0,325.0,403.29447852760734,110254.0
25550,656.75,3.15,0.0,0.0,379.0,23049.0,76.0,-2252.0,656.75,3.15,-22670.0,23428.0,375.0,62.308510638297875,108046.0
25000,1207.6,1.95,0.0,0.0,784.0,117130.0,-129.0,18970.0,1207.6,1.95,-116346.0,117914.0,175.0,669.9659090909091,107705.0
26550,3.5,348.75,0.0,0.0,54174.0,493.0,19752.0,174.0,3.5,348.75,53681.0,54667.0,1375.0,39.72892441860465,105637.0
25050,1173.0,1.75,0.0,0.0,62.0,15036.0,11.0,6539.0,1173.0,1.75,-14974.0,15098.0,125.0,119.82539682539682,102816.0
27550,0.6,0.0,0.0,0.0,3481.0,1.0,83.0,0.0,0.6,0.0,3480.0,3482.0,2375.0,1.4654882154882154,94967.0
27500,0.6,1295.0,0.0,0.0,98307.0,142.0,4966.0,15.0,0.6,1295.0,98165.0,98449.0,2325.0,42.32545141874463,92355.0
26500,5.5,301.0,0.0,0.0,152857.0,7447.0,-2430.0,254.0,5.5,301.0,145410.0,160304.0,1325.0,120.89291101055807,90984.0
25900,312.0,9.55,0.0,0.0,11708.0,144697.0,-12256.0,41725.0,312.0,9.55,-132989.0,156405.0,725.0,215.43388429752065,85864.0
26450,8.2,254.25,0.0,0.0,66574.0,2746.0,25073.0,1761.0,8.2,254.25,63828.0,69320.0,1275.0,54.32601880877743,85698.0
26150,107.55,53.55,0.0,0.0,55729.0,67875.0,-1000.0,56063.0,107.55,53.55,-12146.0,123604.0,975.0,126.64344262295081,85640.0
26400,13.5,209.65,0.0,0.0,143056.0,11962.0,49414.0,2216.0,13.5,209.65,131094.0,155018.0,1225.0,126.442088091354,76971.0
