strike,ltp_CE,ltp_PE,ltp_prev_CE,ltp_prev_PE,oi_CE,oi_PE,oi_change_CE,oi_change_PE,price_change_CE,price_change_PE,oi_diff
55100,0.0,20.2,0.0,0.0,24.0,193.0,0.0,6.0,0.0,20.2,-169.0
55200,0.0,20.8,0.0,0.0,4.0,304.0,0.0,14.0,0.0,20.8,-300.0
55300,0.0,22.25,0.0,0.0,21.0,167.0,0.0,-8.0,0.0,22.25,-146.0
55400,0.0,22.95,0.0,0.0,113.0,151.0,0.0,10.0,0.0,22.95,-38.0
55500,4430.35,23.25,0.0,0.0,2538.0,8180.857142857143,7.0,-201.0,4430.35,23.25,-5642.857142857143
55600,0.0,27.25,0.0,0.0,8.0,718.0,0.0,277.0,0.0,27.25,-710.0
55700,0.0,24.25,0.0,0.0,8.0,485.0,0.0,18.0,0.0,24.25,-477.0
55800,0.0,25.9,0.0,0.0,16.0,358.0,0.0,-62.0,0.0,25.9,-342.0
55900,3839.3,28.0,0.0,0.0,15.0,181.0,0.0,-15.0,3839.3,28.0,-166.0
56000,4032.0,29.6,0.0,0.0,2683.0,14509.0,7.0,813.0,4032.0,29.6,-11826.0
56100,0.0,30.45,0.0,0.0,10.0,1073.0,0.0,489.0,0.0,30.45,-1063.0
56200,0.0,31.45,0.0,0.0,9.0,836.0,0.0,-139.0,0.0,31.45,-827.0
56300,0.0,34.5,0.0,0.0,11.0,744.0,0.0,-111.0,0.0,34.5,-733.0
56400,0.0,34.25,0.0,0.0,23.0,630.0,0.0,-89.0,0.0,34.25,-607.0
56500,3574.15,36.7,0.0,0.0,930.0,7574.0,2.0,-716.0,3574.15,36.7,-6644.0
56600,0.0,39.95,0.0,0.0,22.0,1883.0,0.0,907.0,0.0,39.95,-1861.0
56700,0.0,40.35,0.0,0.0,18.0,588.0,0.0,-316.0,0.0,40.35,-570.0
56800,0.0,44.25,0.0,0.0,42.0,1298.0,0.0,77.0,0.0,44.25,-1256.0
56900,0.0,47.6,0.0,0.0,15.0,859.0,0.0,-82.0,0.0,47.6,-844.0
57000,3109.25,50.0,0.0,0.0,3768.0,17724.0,11.0,1311.0,3109.25,50.0,-13956.0
57100,2900.0,52.1,0.0,0.0,13.0,1488.0,0.0,299.0,2900.0,52.1,-1475.0
57200,2871.9,55.65,0.0,0.0,80.0,1802.0,-1.0,-221.0,2871.9,55.65,-1722.0
57300,2763.15,58.85,0.0,0.0,86.0,2397.0,-1.0,401.0,2763.15,58.85,-2311.0
57400,2640.65,63.9,0.0,0.0,153.0,1823.0,0.0,430.0,2640.65,63.9,-1670.0
57500,2588.4,69.6,0.0,0.0,1743.0,15906.0,22.0,458.0,2588.4,69.6,-14163.0
57600,2458.55,74.05,0.0,0.0,160.0,1585.0,-3.0,219.0,2458.55,74.05,-1425.0
57700,2365.2,80.9,0.0,0.0,274.0,2020.0,-4.0,223.0,2365.2,80.9,-1746.0
57800,2352.8,88.0,0.0,0.0,236.0,3383.0,-1.0,819.0,2352.8,88.0,-3147.0
57900,2180.0,93.65,0.0,0.0,212.0,1622.0,10.0,-199.0,2180.0,93.65,-1410.0
58000,2170.0,103.3,0.0,0.0,6140.0,27901.0,890.0,4379.0,2170.0,103.3,-21761.0
58100,2068.3,111.0,0.0,0.0,280.0,1433.0,-12.0,-288.0,2068.3,111.0,-1153.0
58200,1938.1,121.25,0.0,0.0,302.0,2628.0,-9.0,-147.0,1938.1,121.25,-2326.0
58300,1892.0,132.0,0.0,0.0,350.0,2597.0,-2.0,785.0,1892.0,132.0,-2247.0
58400,1810.65,142.1,0.0,0.0,350.0,4361.0,-16.0,-473.0,1810.65,142.1,-4011.0
58500,1726.0,155.15,0.0,0.0,23659.0,29656.0,-298.0,1419.0,1726.0,155.15,-5997.0
58600,1635.0,170.7,0.0,0.0,457.0,3154.0,41.0,701.0,1635.0,170.7,-2697.0
58700,1549.0,185.5,0.0,0.0,729.0,3623.0,113.0,909.0,1549.0,185.5,-2894.0
58800,1475.1,202.1,0.0,0.0,1783.0,4616.0,720.0,368.0,1475.1,202.1,-2833.0
