strike,ltp_CE,ltp_PE,ltp_prev_CE,ltp_prev_PE,oi_CE,oi_PE,oi_change_CE,oi_change_PE,price_change_CE,price_change_PE,oi_diff,total_oi,distance,magnet_score
61000,235.2,1150.15,0.0,0.0,21055.0,3565.0,480.0,111.0,235.2,1150.15,17490.0,24620.0,3900.0,6.311202255831838
59700,815.0,437.3,0.0,0.0,7661.0,6928.0,770.0,2649.0,815.0,437.3,733.0,14589.0,2600.0,5.608996539792387
57800,2352.8,88.0,0.0,0.0,236.0,3383.0,-1.0,819.0,2352.8,88.0,-3147.0,3619.0,700.0,5.16262482168331
62000,69.75,1978.2,0.0,0.0,20951.0,2148.0,1359.0,133.0,69.75,1978.2,18803.0,23099.0,4900.0,4.713119771475209
60500,402.9,820.05,0.0,0.0,12663.0,3076.0,-1753.0,-262.0,402.9,820.05,9587.0,15739.0,3400.0,4.627756542193472
56800,0.0,44.25,0.0,0.0,42.0,1298.0,0.0,77.0,0.0,44.25,-1256.0,1340.0,300.0,4.451827242524917
56900,0.0,47.6,0.0,0.0,15.0,859.0,0.0,-82.0,0.0,47.6,-844.0,874.0,200.0,4.348258706467662
59600,876.2,404.15,0.0,0.0,4996.0,5542.0,-1306.0,1495.0,876.2,404.15,-546.0,10538.0,2500.0,4.213514594162335
59200,1161.35,286.0,0.0,0.0,2061.0,6515.0,-1372.0,-983.0,1161.35,286.0,-4454.0,8576.0,2100.0,4.081865778200857
63000,26.6,2934.0,0.0,0.0,22835.0,1160.0,1704.0,-13.0,26.6,2934.0,21675.0,23995.0,5900.0,4.066259955939671
59400,1016.8,339.6,0.0,0.0,3831.0,5310.0,-2468.0,173.0,1016.8,339.6,-1479.0,9141.0,2300.0,3.9726205997392436
57700,2365.2,80.9,0.0,0.0,274.0,2020.0,-4.0,223.0,2365.2,80.9,-1746.0,2294.0,600.0,3.8169717138103163
56600,0.0,39.95,0.0,0.0,22.0,1883.0,0.0,907.0,0.0,39.95,-1861.0,1905.0,500.0,3.802395209580838
59300,1081.8,312.0,0.0,0.0,2303.0,6030.0,-2425.0,1382.0,1081.8,312.0,-3727.0,8333.0,2200.0,3.786006360745116
58800,1475.1,202.1,0.0,0.0,1783.0,4616.0,720.0,368.0,1475.1,202.1,-2833.0,6399.0,1700.0,3.761904761904762
59100,1235.0,264.1,0.0,0.0,1697.0,5640.0,-414.0,1281.0,1235.0,264.1,-3943.0,7337.0,2000.0,3.6666666666666665
58400,1810.65,142.1,0.0,0.0,350.0,4361.0,-16.0,-473.0,1810.65,142.1,-4011.0,4711.0,1300.0,3.6210607225211375
57600,2458.55,74.05,0.0,0.0,160.0,1585.0,-3.0,219.0,2458.55,74.05,-1425.0,1745.0,500.0,3.4830339321357284
54000,6020.0,14.45,0.0,0.0,1788.2857142857142,8642.0,8.0,-1.0,6020.0,14.45,-6853.714285714286,10430.285714285714,3100.0,3.363523287418805
61500,130.15,1554.9,0.0,0.0,13856.0,607.0,-601.0,70.0,130.15,1554.9,13249.0,14463.0,4400.0,3.2862985685071573
60100,589.9,610.75,0.0,0.0,6417.0,3373.0,509.0,1066.0,589.9,610.75,3044.0,9790.0,3000.0,3.2622459180273244
59900,695.0,519.9,0.0,0.0,6126.0,2969.0,-746.0,1437.0,695.0,519.9,3157.0,9095.0,2800.0,3.247054623348804
58900,1370.05,220.5,0.0,0.0,844.0,4190.0,-82.0,802.0,1370.05,220.5,-3346.0,5034.0,1800.0,2.7951138256524155
